237.68,158
242.3,87
246.86,76
251.62,75
255.82,69
259.89,71
270.74,49
275.17,38
285.83,38
290.1,40
303.13,81
307.96,75
314.19,64
317.96,38
328.02,49
332.59,45
336.66,52
340.28,50
350.84,33
354.93,33
365.33,29
369.33,30
379.84,56
383.95,63
387.99,69
30.5,77
34.76,78
40.33,183
51.45,107
55.64,70
59.8,69
63.78,65
73.51,62
77.55,62
81.68,66
85.82,67
90.04,75
94.32,81
108.2,333
115.46,344
123.76,414
137.82,103
149.26,387
156.75,348
162.25,84
174.43,60
178.98,53
183.15,49
187.23,45
191.14,44
201.06,38
204.95,38
208.77,34
222.0,162
227.15,159
237.72,89
242.09,74
252.02,67
256.2,69
260.42,74
265.47,53
276.25,33
280.3,33
284.58,34
288.75,33
294.05,51
299.06,77
303.94,77
309.87,62
313.69,35
317.99,44
321.69,40
332.41,51
336.14,48
346.93,32
350.93,28
354.98,28
359.03,27
363.02,28
367.74,66
371.98,73
22.37,68
26.55,70
30.95,80
35.07,77
47.1,190
52.36,107
62.22,67
66.18,63
75.87,62
79.97,64
84.11,67
88.29,70
92.75,80
102.33,428
115.31,345
123.92,422
132.73,89
149.21,392
156.63,342
162.19,82
173.98,56
178.2,51
188.66,43
192.62,39
196.62,38
200.55,38
204.56,39
208.21,37
221.33,163
226.65,161
231.9,159
242.54,77
246.82,74
251.0,69
255.18,71
259.48,76
264.59,50
268.78,34
279.79,32
283.94,35
296.54,74
301.51,78
307.88,60
311.69,35
315.81,47
326.55,45
330.3,52
340.67,40
344.79,33
349.06,27
353.08,29
356.87,29
11.17,95
15.28,58
19.14,61
29.09,73
33.27,77
45.31,192
50.75,189
60.68,68
64.67,66
74.42,62
78.53,63
82.67,66
86.83,68
91.13,75
95.56,82
104.31,428
111.55,346
119.11,368
126.63,1
134.52,91
151.66,413
161.05,126
166.1,77
177.55,54
181.6,49
191.75,42
195.7,38
199.5,38
209.2,34
216.0,149
227.13,159
232.6,158
237.46,95
242.0,75
246.46,76
250.49,69
260.48,73
265.72,51
269.79,33
280.6,34
284.75,35
297.25,79
302.31,78
307.9,74
318.37,43
322.25,44
327.33,48
331.24,51
335.13,49
339.07,47
349.86,28
353.61,28
6.54,32
11.25,78
15.43,67
25.2,68
29.18,69
39.31,78
44.89,193
50.3,190
60.9,69
65.0,67
69.12,64
73.23,62
77.26,61
81.18,63
91.19,69
95.44,79
111.58,333
118.74,346
137.27,87
141.77,102
152.4,395
167.88,79
172.71,68
183.71,52
187.99,47
191.9,40
201.87,39
205.62,39
218.43,132
223.43,163
234.88,157
239.55,110
250.18,74
254.35,68
258.54,70
262.75,72
267.83,65
278.82,33
282.81,30
287.19,38
291.29,33
303.91,74
309.16,76
314.12,44
318.07,42
328.85,51
332.83,52
336.73,49
340.42,49
351.09,25
355.07,28
365.45,29
369.85,47
374.41,86
378.35,53
382.49,66
386.48,66
30.88,75
35.68,94
41.22,191
46.64,189
56.48,67
60.46,65
70.15,61
74.22,61
78.34,65
82.48,67
86.67,72
90.98,80
105.05,330
112.31,344
120.96,421
129.66,80
146.25,398
153.51,336
166.39,67
170.74,56
181.27,47
185.3,40
189.31,40
193.17,39
202.89,37
209.15,87
220.19,161
225.45,158
235.85,75
240.6,77
244.65,72
254.59,72
259.7,69
270.8,35
274.63,30
285.59,37
291.5,78
304.82,47
308.5,37
318.9,54
322.98,45
326.88,52
330.62,48
341.38,33
345.38,30
355.79,30
359.96,29
364.75,97
368.76,56
372.69,61
26.32,71
30.5,78
42.5,192
47.95,190
57.83,67
61.88,65
71.62,61
75.73,64
79.86,65
83.88,68
94.14,82
102.71,434
116.08,355
124.9,440
133.59,89
150.34,409
157.64,334
170.25,66
174.56,58
184.91,45
189.43,42
192.81,39
202.65,37
206.32,37
218.97,164
224.25,162
229.67,159
234.55,144
245.22,77
249.47,70
253.7,69
257.81,70
268.9,37
273.05,38
284.16,35
288.29,35
294.04,66
307.53,64
311.49,37
315.76,52
326.21,47
330.13,52
333.88,49
344.52,33
348.39,29
358.8,27
362.79,30
373.25,57
18.43,64
22.53,67
26.56,70
36.68,77
42.1,192
52.59,80
56.57,69
66.4,63
70.4,62
80.22,65
84.37,67
88.55,70
93.03,80
102.85,428
109.92,343
124.28,421
133.04,82
149.65,396
157.08,338
162.64,78
167.89,70
172.67,65
176.94,60
187.55,42
191.72,43
195.64,40
199.56,35
203.21,35
215.98,146
221.27,162
226.59,159
232.06,157
236.81,103
241.33,74
245.76,75
249.78,69
259.8,71
264.81,63
275.46,34
279.39,30
283.64,34
295.96,68
300.71,73
305.9,72
311.23,39
321.2,34
326.02,52
329.99,51
333.77,48
337.63,45
341.89,38
345.98,33
356.32,27
360.35,24
364.42,29
10.41,85
20.52,65
24.69,67
28.88,70
33.26,76
37.5,75
43.12,184
53.97,90
58.51,68
62.68,67
66.79,63
70.88,61
75.21,60
78.85,62
88.73,67
92.98,77
110.03,332
117.22,343
135.9,83
140.31,103
157.59,377
163.08,82
168.28,67
173.11,67
183.86,52
187.81,45
197.88,39
201.83,38
205.51,38
218.17,159
223.42,163
228.73,159
234.04,157
244.64,75
249.02,75
253.05,68
263.02,74
268.42,50
272.79,38
277.02,37
280.96,30
285.24,37
297.74,59
302.74,74
307.87,81
313.48,39
317.2,35
328.07,57
332.03,49
335.93,49
339.61,47
350.62,29
354.69,30
359.04,29
2.77,27
6.77,29
17.7,55
21.83,64
25.92,68
30.12,70
34.39,80
46.24,193
51.85,190
56.08,72
60.21,69
64.24,67
